code	product_name_fr	generic_name_fr	quantity	packaging	brands	categories	allergens	energy.kcal_value	fat_value	saturated.fat_value	sugars_value	proteins_value	salt_value	off.nutriscore_score	Sandwich
2000000030701	Grand Premium (Boeuf)	NA	320,9 g	Boîte, Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame, Avoine	NA	17	6,2	4	15	0,81	11	Oui
2000000030970	Croutons pour salade Chicken Caesar (ail et fines et herbes)	NA	20 g	Plastique, Sachet	McDonald's	Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Croûtons	Œufs, Gluten, Lait, Fruits à coque, Graines de sésame, Soja	NA	15	1	4,3	9,6	1,4	11	Non
2000000026526	Donut choco-noisette	Donut fourré à la noisette et au cacao, recouvert d'un glaçage blanc et d'étoiles au chocolat au lait.	67 g	Papier, Sachet, Décongelé	McDonald's	Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Pâtisseries, Donuts	Œufs, Gluten, Lait, Fruits à coque, Soja	NA	NA	NA	NA	NA	NA	NA	Non
2000000031129	Original Sweet Mustard	NA	272 g	Carton	McDonald's	Sandwichs	Gluten, Lait, Moutarde, Graines de sésame	NA	13	7	5	12	0,92	13	Oui
2000000003762	9 Chicken McNuggets	Spécialité panée au poulet	160 g	Carton	McDonald's	Viandes, Préparations de viande, Volailles, Produits panés, Poulets, Volailles cuites, Préparations au poulet, Poulets cuisinés, Nuggets de volaille, Poulets panés, Nuggets de poulet, Nuggets	Céleri, Gluten	NA	13	1,6	0,4	16	1,2	3	Non
2000000031884	P'tit Bagel	NA	127 g	Papier	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Moutarde, Graines de sésame	NA	12	3,9	3	12	0,94	4	Oui
2000000032118	Ice Squeeze	Tube à presser contenant de la glace à base de lait.	79,8 g	Carton, Tube	McDonald's	Desserts, Surgelés, Desserts glacés, Glaces et sorbets, Glaces	Lait	NA	4	2,5	21	3,8	0,13	5	Non
2000000032350	Le M	NA	247 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame, Soja	NA	13	5,1	1,3	15	0,96	11	Oui
2000000032351	Le M Bacon	NA	253 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame, Soja	NA	13	5,1	1,2	15	0,99	11	Oui
2000000033326	McWrap Crevette Sauce au Curry	NA	203 g	Carton	McDonald's	Sandwichs, Wraps	Céleri, Crustacés, Œufs, Poisson, Gluten, Lait, Moutarde, Soja	NA	11	3,4	2	8,9	1,1	2	Oui
2000000008888	Sauce Pepper	Sauce au poivre	25 ml	Plastique	McDonald's	en:groceries, Sauces, Sauces au poivre	Moutarde	NA	32	4	4	0,9	2	15	Non
2000000033769	Le 280 recette au Gruyère de France IGP	NA	294 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame	NA	NA	NA	NA	NA	NA	NA	Oui
2000000034069	Beef Sweet Peppers	Sandwich composé de deux steaks hachés et de poivrons verts fris.	226 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame	NA	15	5,8	3	13	1,2	12	Oui
2000000034070	Chicken Bacon & BBQ	Sandwich composé d'une spécialité panée au poulet et d'une sauce goût barbecue	241 g	Carton	McDonald's	Sandwichs, Hamburgers	Lait	NA	12	3,7	3	12	2,7	15	Oui
2000000034588	P'tit Hot Dog	NA	105 g	Papier	McDonald's	Sandwichs, Hot-dogs	Gluten, Lait, Moutarde, Graines de sésame, Soja	NA	14	4,8	8	11	1,5	13	Oui
2000000003761	4 Chicken McNuggets	Spécialités panées au poulet.	71,2 g	Carton	McDonald's	Viandes, Préparations de viande, Volailles, Produits panés, Poulets, Volailles cuites, Préparations au poulet, Poulets cuisinés, Nuggets de volaille, Poulets panés, Nuggets de poulet, Nuggets	Céleri, Gluten	NA	13	1,6	0,4	16	1,2	3	Non
2000000003779	Grande Deluxe Potatoes	Quartiers de pommes de terre avec leur peau, épicés, frits	160 g	Carton	McDonald's	Chips et frites, Frites	NA	NA	8,8	0,9	0,3	3,5	1,1	2	Non
2000000037986	Recette Cantal AOP sauce à la moutarde à l'ancienne	NA	332 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Moutarde, Graines de sésame, Avoine	NA	12	5,7	1	12	1,1	10	Oui
2000000039344	Grand Chicago Chicken	NA	297 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame	NA	NA	NA	NA	NA	NA	NA	Oui
2000000034589	McWrap Chicken Bacon & BBQ	NA	232 g	Carton, Carton non ondulé	McDonald's	Sandwichs, Wraps	Gluten, Lait	NA	10	3,4	1	12	2,8	15	Oui
2000000039772	Grand Chicago Classic	NA	281 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame	NA	NA	NA	NA	NA	NA	NA	Oui
2000000041840	Burger Bacon & Cheddar fondu	NA	220 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame	290	17	6,8	5	15	1,3	15	Oui
