"1"|21958|25|0|3|20.5134683612613
"2"|18675|22|3|3|12.6405955638954
"3"|16025|18|7|4|10.1403144339686
"4"|15675|20|5|3|8.92257421700647
"5"|14227|18|7|3|19.1863485194617
"6"|13630|18|7|4|10.4283355835458
"7"|13618|17|8|4|13.3899212122894
"8"|13593|17|8|2|14.1016713712883
"9"|13413|16|9|4|8.81896402167413
"10"|13033|16|9|1|1.56837317166199
"11"|12889|16|9|4|13.1093629611173
"12"|12703|16|9|4|16.1608344802492
"13"|12490|15|10|4|12.4883151311181
"14"|12261|16|9|4|16.9414728354626
"15"|12198|17|8|3|15.1181883744061
"16"|12195|17|8|1|17.4093488854505
"17"|11775|14|11|4|7.2237939251841
"18"|11383|14|11|4|13.663294282863
"19"|11064|15|10|3|17.4116268585194
"20"|11013|14|11|3|15.7371095521554
"21"|10924|13|12|4|21.5505141897053
"22"|10715|14|11|2|18.3208429687855
"23"|10662|13|12|3|18.0749692724357
"24"|10442|15|10|3|18.9715432402187
"25"|10416|14|11|1|15.9372975708821
"26"|10271|14|11|3|12.4420001751506
"27"|10228|13|12|1|19.5303768773663
"28"|10112|13|12|4|16.3752441465667
"29"|9920|12|13|2|23.5541866719727
"30"|9836|13|12|2|16.4412133553324
"31"|9780|13|12|1|9.07419185783354
"32"|9671|12|13|2|17.9202527379802
"33"|9476|12|13|2|4.25934152168599
"34"|9017|11|14|3|12.1741789819325
"35"|8994|12|13|1|17.426845143096
"36"|8220|10|15|3|14.4748469549134
"37"|8121|12|13|1|26.0035814502825
"38"|7756|10|15|4|15.6562159801739
"39"|7595|10|15|2|16.8867118514018
"40"|7580|10|15|1|12.6938807815664
"41"|7347|10|15|1|10.9738293400784
"42"|7206|9|16|2|19.1174513121492
"43"|6865|10|15|2|17.1581724853186
"44"|6291|8|17|1|15.2351345450912
"45"|6006|8|17|1|12.8290810293976
"46"|3353|4|21|3|17.7497632124493
"47"|2818|3|22|1|19.3716665076711
